,filename,frame_number,well_num,buffer,rg_med,rg_std_err_med,rg_pstat,io_med,Vp,mass_vp
81,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00032.sub.1.ave.dat,00032,A2,Average,20.005764196713805,5.6947472614940615,1.0317673934400684e-08,6.0765130904434566,49372.83631016689,40.979454137438516
82,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00033.sub.1.ave.dat,00033,A2,Average,10.477669951236736,0.5189382287189918,2.40629091974141e-06,2.2644384033685387,13175.91340335646,10.936008124785863
83,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00034.sub.1.ave.dat,00034,A2,Average,17.799129385548405,5.572207319438841,4.002528556756445e-05,4.979273067835709,31242.36092257822,25.93115956573992
84,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00035.sub.1.ave.dat,00035,A2,Average,19.59326198986382,4.561797062211294,2.3392892947537952e-05,5.572265110097308,42312.88487601105,35.119694447089174
85,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00036.sub.1.ave.dat,00036,A2,Average,18.489061476773866,7.666941059421326,0.00011170654987410105,5.116603387157982,34782.69851288496,28.86963976569452
86,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00037.sub.1.ave.dat,00037,A2,Average,22.752765871728045,5.666106044697999,5.574555311141482e-08,6.8056183816485545,65542.70479095666,54.40044497649403
87,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00038.sub.1.ave.dat,00038,A2,Average,27.469559132148714,10.131486468438746,3.4446254809574426e-09,7.4260384494940945,85700.55150337802,71.13145774780376
88,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00039.sub.1.ave.dat,00039,A2,Average,17.857137206770908,7.054714191826314,7.196610884446936e-05,4.572717006511079,30249.619788105465,25.107184424127535
89,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00040.sub.1.ave.dat,00040,A2,Average,20.13765350413449,3.977122205599685,9.103226498963281e-07,5.670948873863696,46934.57951021368,38.95570099347736
90,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00041.sub.1.ave.dat,00041,A2,Average,19.940435148196855,8.016301537009706,2.2461073156624365e-07,5.571208961265651,46128.645039471834,38.286775382761626
91,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00042.sub.1.ave.dat,00042,A2,Average,23.018527912161243,3.902409176459326,7.863012258295034e-06,7.011403894219686,69788.29256162424,57.92428282614812
92,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00043.sub.1.ave.dat,00043,A2,Average,18.69773107436859,5.37384593104197,5.767481357268074e-06,5.877675726896118,39356.071844028884,32.665539630543975
93,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00044.sub.1.ave.dat,00044,A2,Average,21.040769607288766,7.443571032953906,8.91058629839422e-07,5.718670908343608,47970.437864625914,39.81546342763951
94,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00045.sub.1.ave.dat,00045,A2,Average,20.6096201703814,15.350545481703028,7.444579526605592e-06,5.363183749078893,44439.38943882866,36.88469323422778
95,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00046.sub.1.ave.dat,00046,A2,Average,20.057081553355975,6.377133363978354,6.0138641573162075e-05,5.9958396606596915,46289.960974143294,38.420667608538935
96,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00047.sub.1.ave.dat,00047,A2,Average,18.418501165269127,5.878513385132752,4.450243768343778e-09,5.5748730469851795,37022.52995304052,30.728699861023628
97,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00048.sub.1.ave.dat,00048,A2,Average,22.549708402947243,3.4291735450578806,4.9209233235594e-07,6.8070589687569925,62984.41167353286,52.27706168903227
98,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00049.sub.1.ave.dat,00049,A2,Average,24.060659290801407,7.4126856483035795,1.2558327928699707e-06,6.926081369521173,68398.48991618371,56.77074663043248
99,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00050.sub.1.ave.dat,00050,A2,Average,22.797038364734266,2.1523448554777524,0.0009739334503081002,6.688493562650339,64618.05960504508,53.63298947218741
100,Subtracted\A2_results\Buffer1\A2_Fe2CO_delc3_low_buff1_snap_00001.sub.1.dat,00001,A2,Buffer1,19.363740069320723,5.525453541703929,1.200351458329347e-07,5.721834688579601,35235.69547164122,29.245627241462216
101,Subtracted\A2_results\Buffer1\A2_Fe2CO_delc3_low_buff1_snap_00002.sub.1.dat,00002,A2,Buffer1,21.78431354945861,7.89361693271747,0.004346883360457952,6.517114587910518,52997.1235856299,43.98761257607282
102,Subtracted\A2_results\Buffer1\A2_Fe2CO_delc3_low_buff1_snap_00003.sub.1.dat,00003,A2,Buffer1,34.78989391972494,nan,8.795812930350273e-05,9.875861951751661,134598.69658014365,111.71691816151923
103,Subtracted\A2_results\Buffer1\A2_Fe2CO_delc3_low_buff1_snap_00004.sub.1.dat,00004,A2,Buffer1,14.714939078056881,4.789514350917021,1.536778511851072e-06,4.214043225305234,21644.28310020864,17.96475497317317
104,Subtracted\A2_results\Buffer1\A2_Fe2CO_delc3_low_buff1_snap_00005.sub.1.dat,00005,A2,Buffer1,14.91183986607925,nan,5.3543299570248285e-09,2.920571955904099,14079.799846668908,11.686233872735194
105,Subtracted\A2_results\Buffer1\A2_Fe2CO_delc3_low_buff1_snap_00006.sub.1.dat,00006,A2,Buffer1,27.065066819059957,7.10862114244934,0.00022563878708865232,7.979421302696693,84038.90452930763,69.75229075932533
106,Subtracted\A2_results\Buffer1\A2_Fe2CO_delc3_low_buff1_snap_00007.sub.1.dat,00007,A2,Buffer1,29.43731290352657,2.637384903623524,9.147537727484377e-06,8.727172083132642,103239.60409474465,85.68887139863806
107,Subtracted\A2_results\Buffer1\A2_Fe2CO_delc3_low_buff1_snap_00008.sub.1.dat,00008,A2,Buffer1,19.782693515415502,4.5222272680378905,0.00011671359705912024,6.103783278165824,44543.092079082686,36.97076642563863
108,Subtracted\A2_results\Buffer1\A2_Fe2CO_delc3_low_buff1_snap_00009.sub.1.dat,00009,A2,Buffer1,19.480595221532834,6.883279252950233,2.859054476272366e-07,5.494317961990846,37855.78440161232,31.420301053338225
109,Subtracted\A2_results\Buffer1\A2_Fe2CO_delc3_low_buff1_snap_00010.sub.1.dat,00010,A2,Buffer1,21.0088680375746,5.538764904594539,1.767503428155217e-06,6.412419418124028,50196.303013127734,41.66293150089602
110,Subtracted\A2_results\Buffer1\A2_Fe2CO_delc3_low_buff1_snap_00011.sub.1.dat,00011,A2,Buffer1,18.30826588816118,4.162494389776143,5.2121055900684246e-05,5.1787130350902455,31526.38715420761,26.166901337992314
111,Subtracted\A2_results\Buffer1\A2_Fe2CO_delc3_low_buff1_snap_00012.sub.1.dat,00012,A2,Buffer1,20.233234033143432,4.575168267641806,0.0001711829384612773,6.177267134629503,46960.975496681545,38.97760966224568
112,Subtracted\A2_results\Buffer1\A2_Fe2CO_delc3_low_buff1_snap_00013.sub.1.dat,00013,A2,Buffer1,18.71835919994538,5.263399955948216,1.0524549880973878e-07,5.303655733028636,34921.17247656397,28.98457315554809
113,Subtracted\A2_results\Buffer1\A2_Fe2CO_delc3_low_buff1_snap_00014.sub.1.dat,00014,A2,Buffer1,18.068703178741732,2.081858152121322,4.446873219459439e-05,4.758827360523946,28128.899571284954,23.346986644166513
114,Subtracted\A2_results\Buffer1\A2_Fe2CO_delc3_low_buff1_snap_00015.sub.1.dat,00015,A2,Buffer1,24.99428405306831,6.7200085350690015,0.00028873810510798354,7.43926328585662,76269.57183154672,63.30374462018378
115,Subtracted\A2_results\Buffer1\A2_Fe2CO_delc3_low_buff1_snap_00016.sub.1.dat,00016,A2,Buffer1,22.5380945835647,10.260731405036033,6.177309507341462e-08,6.659491986890416,56536.368709731294,46.925186029076976
116,Subtracted\A2_results\Buffer1\A2_Fe2CO_delc3_low_buff1_snap_00017.sub.1.dat,00017,A2,Buffer1,15.981765262740806,4.4794194692960065,0.00010892258650117725,4.272840096142916,21936.105747690523,18.206967770583134
117,Subtracted\A2_results\Buffer1\A2_Fe2CO_delc3_low_buff1_snap_00018.sub.1.dat,00018,A2,Buffer1,18.01266565355872,6.644671519158588,1.5875196381374988e-06,4.655286147922804,26184.47202658558,21.733111782066032
